ID,DE,KA,GENDER,EXAMPLE,BOOK,LESSON,DATE
500,das fahrrad,მოტორიცკლეტი,N,,A1.1,L6,26/02/2026
501,das Reiseland,მოგზაურობის ქვეყანა,N,,A1.1,L6,26/02/2026
502,das steigen,"დაწყება, დამწყები",N,,A1.1,L6,26/02/2026
503,das bergsteigen,ალპინიზმი,N,,A1.1,L6,26/02/2026
504,das Gebirge,ქედი,N,,A1.1,L6,26/02/2026
505,das Segeln,ნაოსნობა,N,,A1.1,L6,26/02/2026
506,die Nachricht(en),შეტყობინება,F,,A1.1,L6,26/02/2026
507,die Sonne,მზე,F,,A1.1,L6,26/02/2026
508,die Wolke,ღრუბელი,F,,A1.1,L6,26/02/2026
509,die Speisekarte,მენიუ,F,,A1.1,L6,26/02/2026
510,die Woche,კვირა (7 დღე),F,,A1.1,L6,26/02/2026
511,die Stunde(n),დროის ინტერვალი პერიოდი,F,,A1.1,L6,26/02/2026
512,die Temperatur,ტემპერატურა,F,,A1.1,L6,26/02/2026
513,die Uhr,საათი - დროის საზომი,F,,A1.1,L6,26/02/2026
514,in der Nacht,ღამით,F,,A1.1,L6,26/02/2026
515,die Reise,მოგზაურობა,F,,A1.1,L6,26/02/2026
516,die Möglichkeit(en),შესაძლებლობა,F,,A1.1,L6,26/02/2026
517,die Alpen,ალპები,F,,A1.1,L6,26/02/2026
518,die Aufgaben,"დავალებელი, შესასრულებელი სამუშაო",F,,A1.1,L6,26/02/2026
519,die Hausaufgaben,საშინაო დავალება,F,,A1.1,L6,26/02/2026
520,auto fahren,მანქანის ტარება,-,,A1.1,L6,26/02/2026
521,wandern,ლაშქრობა,-,,A1.1,L6,26/02/2026
522,einen Ausflug machen,ექსკურსიის მოწყობა,-,,A1.1,L6,26/02/2026
523,ein Picknick machen,პიკნიკის მოწყობა,-,,A1.1,L6,26/02/2026
524,Nachrichten schreiben,შეტყობინების დაწერა,-,,A1.1,L6,26/02/2026
525,Gitarre spielen,გიტარაზე დაკვრა,-,,A1.1,L6,26/02/2026
526,telefonieren,დარეკვა,-,,A1.1,L6,26/02/2026
527,fotografieren,ფოტოს გადაღება,-,,A1.1,L6,26/02/2026
528,die Sonne scheint,მზე ანათებს,-,,A1.1,L6,26/02/2026
529,es regnet,წვიმს,-,,A1.1,L6,26/02/2026
530,speisen,ვახშმობა,-,,A1.1,L6,26/02/2026
531,freunde treffen,მეგობრებთან შეხვედრა,-,,A1.1,L6,26/02/2026
532,gefallen,"მოწონება, შთაბეჭდილების მოხდება",-,Wie gefällt dir der Schrank?,A1.1,L6,26/02/2026
533,es schneit,თოვს,-,,A1.1,L6,26/02/2026
534,nehmen,"აღება, შეკვეთა, აყვანა (ტაქსის), ამორჩევა",-,,A1.1,L6,26/02/2026
535,vergessen,დავიწყება,-,,A1.1,L6,26/02/2026
536,sehen,"დანახვა, ხედვა",-,,A1.1,L6,26/02/2026
537,mögen,"მოწონება, სიყვარული",-,,A1.1,L6,26/02/2026
538,tanzen,ცეკვა,-,,A1.1,L6,26/02/2026
539,ski fahren,თცილამურებზე სრიალი,-,,A1.1,L6,26/02/2026
540,joggen,სირბილი,-,,A1.1,L6,26/02/2026
541,grillen,"გრილი, მწვადაობა",-,,A1.1,L6,26/02/2026
542,bleiben,"დარჩენა, შენარჩუნება",-,,A1.1,L6,26/02/2026
543,es bleibt,"რჩება, გრძელდება",-,,A1.1,L6,26/02/2026
544,stehen,დგომა,-,,A1.1,L6,26/02/2026
545,anfangen,დაწყება,-,,A1.1,L6,26/02/2026
546,können,შეძლება,-,Kann ich dir helfen?,A1.1,L6,26/02/2026
547,radfahren,ველოს ტარება,-,,A1.1,L6,26/02/2026
548,fahrradfahren,მოტოს ტარება,-,,A1.1,L6,26/02/2026
549,klettern,კლდეზე ცოცვა,-,,A1.1,L6,26/02/2026
550,spezieren gehen,სასეირნოდ წასვლა,-,,A1.1,L6,26/02/2026
551,es gibt viele wolken,ბევრი ღრუბელია,-,,A1.1,L6,26/02/2026
552,das / es stimmt so,"ასეა, მართალია",-,"Stimmt's?
Du sprichst Spanisch, stimmt's?
Äpfel sind rot, stimmt's?
Ja, genau.
Das stimmt.
Das stimmt nicht.
Nein, falsch.",A1.1,L6,26/02/2026
553,doch,როგორ არა! უარყოფით შეკითხვაზე პასუხი,-,,A1.1,L6,26/02/2026
554,dabei,თან ქონა,-,,A1.1,L6,26/02/2026
555,hallo leute,სალამი ყველას,-,,A1.1,L6,26/02/2026
556,natürlich,რა თქმა უნდა,-,,A1.1,L6,26/02/2026
557,hallo Schatz,სალამი ძვირფასო,-,,A1.1,L6,26/02/2026
558,vielleicht,"ალბათ, შეიძლება",-,,A1.1,L6,26/02/2026
559,Wie ist das Wetter in Norddeutschland heute?,როგორია ამინდი ჩრდ გერმანიაში დღეს?,-,,A1.1,L6,26/02/2026
560,nächst-,შემდეგი,-,,A1.1,L6,26/02/2026
561,dies-,ამ-,-,,A1.1,L6,26/02/2026
562,Nächsten Montag,შემდეგი ორშაბათი,-,,A1.1,L6,26/02/2026
563,Diesen Freitag,ეს პარასკევი,-,,A1.1,L6,26/02/2026
564,es ist sonnig,მზეა (მზიანია),-,,A1.1,L6,26/02/2026
565,es ist regnerisch,წვიმიანია,-,,A1.1,L6,26/02/2026
566,es ist windig,ქარიანია,-,,A1.1,L6,26/02/2026
567,es ist warm,თბილა,-,,A1.1,L6,26/02/2026
568,es ist bewölkt,ღრუბლიანია,-,,A1.1,L6,26/02/2026
569,es ist kalt,ცივა,-,,A1.1,L6,26/02/2026
570,es ist heiß,ცხელა,-,,A1.1,L6,26/02/2026
571,Wichtig,მნიშვნელოვანი,-,,A1.1,L6,26/02/2026
572,jeden Tag,ყოველდღე,-,,A1.1,L6,26/02/2026
573,siehst du,ხომ ხედავ,-,,A1.1,L6,26/02/2026
574,lesen macht Spaß,კითხვა სახალისოა,-,,A1.1,L6,26/02/2026
575,am Montagmorgen,ორშ დილას,-,,A1.1,L6,26/02/2026
576,am Freitagabend,პარასკევ საღამოს,-,,A1.1,L6,26/02/2026
577,das ganze Jahr,მთელი წელი,-,,A1.1,L6,26/02/2026
578,das gefällt mir,მომწონს,-,,A1.1,L6,26/02/2026
579,soger,"დაჟე, -ც კი, თუნდაც",-,,A1.1,L6,26/02/2026
580,wunderbar,საოცარი,-,,A1.1,L6,26/02/2026
581,menge,ბევრი ხალხი,-,,A1.1,L6,26/02/2026
582,meist,"ძირითადად, ხშირად",-,,A1.1,L6,26/02/2026
583,manchmal,ხანდახან,-,,A1.1,L6,26/02/2026
584,möglich,შესაძლებელი,-,,A1.1,L6,26/02/2026
585,auf-,-ზე (ზედაპირზე),-,,A1.1,L6,26/02/2026
586,vom-,-დან (თანდებული),-,,A1.1,L6,26/02/2026
587,bis-,-მდე (თანდებული),-,,A1.1,L6,26/02/2026
588,mittel,საშუალო,-,,A1.1,L6,26/02/2026
589,interessant,საინტერესო,-,,A1.1,L6,26/02/2026
590,Ich hätte gern,I'd like,-,,A1.1,L6,26/02/2026
591,sofort,"დაუყოვნებლივ, სასწრაფოდ",-,,A1.1,L6,26/02/2026
592,überall,ყველგან,-,,A1.1,L6,26/02/2026
593,andere,სხვა,-,,A1.1,L6,26/02/2026
594,in meiner freizeit,თავისუფალ დროს (მე),-,Was machen Sie gern in der freizeit?,A1.1,L6,26/02/2026
595,fast,თითქმის,-,,A1.1,L6,26/02/2026
596,leicht bewölkt,მსუბუქად მოღრუბლული,-,,A1.1,L6,26/02/2026
597,stark bewölkt,ძლიერად მოღრუბლული,-,,A1.1,L6,26/02/2026
598,zum Biespiel,მაგალითად,-,,A1.1,L6,26/02/2026
599,zuerst,პირველ რიგში,-,,A1.1,L6,26/02/2026
600,Frühdienst,დილის / პირველი ცვლა,-,,A1.1,L6,26/02/2026
601,der Fernunterricht,დისტანციური სწავლება,M,,A1.1,L7,15/03/2026
602,die Ferien,"დღესასწაული, დასვენების დღე",F,,A1.1,L7,15/03/2026
603,die Weiterbildung,განგრძობითი / ზედა დონის განათლება,F,,A1.1,L7,15/03/2026
604,die Blume (n),ყვავილი,F,,A1.1,L7,15/03/2026
605,die Prüfund,"ტესტები, გამოცდა",F,,A1.1,L7,15/03/2026
606,üben,"ვარჯიში, პრაქტიკა",-,,A1.1,L7,15/03/2026
607,geben,მიცემა,-,,A1.1,L7,15/03/2026
608,notieren sie,"ჩაიწერეთ, ჩაინიშნეთ",-,,A1.1,L7,15/03/2026
609,kuchen backen,ნამცხვრის ცხობა,-,,A1.1,L7,15/03/2026
610,fahrrad fahren,მოტოს ტარება,-,,A1.1,L7,15/03/2026
611,reiten,ჯირითი,-,,A1.1,L7,15/03/2026
612,singen,მღერა,-,,A1.1,L7,15/03/2026
613,stricken,ქსოვა,-,,A1.1,L7,15/03/2026
614,jonglieren,ჟონგლიორობა,-,,A1.1,L7,15/03/2026
615,einen hand-stand machen,ხელებზე დგომა,-,,A1.1,L7,15/03/2026
616,Französisch sprechen,ფრანგულად საუბარი,-,,A1.1,L7,15/03/2026
617,Klavier Spielen,პიანინოზე დაკვრა,-,,A1.1,L7,15/03/2026
618,malen,ხატვა საღებავებით,-,,A1.1,L7,15/03/2026
619,Tennis spielen,ჩოგბურთის თამაში,-,,A1.1,L7,15/03/2026
620,wollen,"ნდომა, სურვილი",-,,A1.1,L7,15/03/2026
621,zeichnen,"დახატვა ""მშრალად""",-,,A1.1,L7,15/03/2026
622,kennenlernen,გაცნობა,-,,A1.1,L7,15/03/2026
623,aussehen,გამოიყურება,-,,A1.1,L7,15/03/2026
624,losfahren,"დაწყება, ""დავიძრათ"", გავეშუროთ",-,,A1.1,L7,15/03/2026
625,gleich,"მალე / იგივე, თითქმის",-,,A1.1,L7,15/03/2026
626,gestern,გუშინ,-,,A1.1,L7,15/03/2026
627,für anfänger und könner,დამწყებებისათვის და ექსპერტებისათვის,-,,A1.1,L7,15/03/2026
628,der Beruf,"პროფესია, საქმიანობა",M,Was sind Sie von Beruf?,A1.2,L8,15/04/2026
629,der Journalist,ჟურნალისტი,M,,A1.2,L8,15/04/2026
630,der Arzthelfer,სამედიცინო ასისტენტი,M,,A1.2,L8,15/04/2026
631,der Arzt,ექიმი,M,,A1.2,L8,15/04/2026
632,der Ingenieur,ინჟინერი,M,,A1.2,L8,15/04/2026
633,der Polizist,პოლიციელი,M,,A1.2,L8,15/04/2026
634,der Hausmann,მამასახლისი,M,,A1.2,L8,15/04/2026
635,der Krankenpfleger,ექთანი,M,,A1.2,L8,15/04/2026
636,der Schüler,მოსწავლე ბიჭი,M,,A1.2,L8,15/04/2026
637,der Abteilungsleiter,დეპ უფროსი,M,,A1.2,L8,15/04/2026
638,der Reiseführer,სამოგზაურო გიდი,M,,A1.2,L8,15/04/2026
639,der Verkäufer,კონსულტანტი კაცი,M,,A1.2,L8,15/04/2026
640,der Architekt,არქიტექტორი კაცი,M,,A1.2,L8,15/04/2026
641,der Arbeiter,მუშა კაცი,M,,A1.2,L8,15/04/2026
642,der Koch,მზარეული კაცი,M,,A1.2,L8,15/04/2026
643,der Bereich,პროფ. საქმიანობის სფერო,M,im Bereich der…,A1.2,L8,15/04/2026
644,der Büro,ოფისი,M,,A1.2,L8,15/04/2026
645,der Lebenslauf,"სივი, რეზიუმე",M,,A1.2,L8,15/04/2026
646,das Krankenhaus,კლინიკა,N,,A1.2,L8,15/04/2026
647,das Praktikum,სტაჟირება,N,,A1.2,L8,15/04/2026
648,die Arbeit,სამუშაო,F,,A1.2,L8,15/04/2026
649,die Geschichte,"ამბავი, ისტორია",F,,A1.2,L8,15/04/2026
650,die Praxis,"პრაქტიკა, გამოცდილება, ექიმის კაბინეტი",F,,A1.2,L8,15/04/2026
651,die Ärztin,ექიმი ქალი,F,,A1.2,L8,15/04/2026
652,die Ingeneurin,ინჟინერი ქალი,F,,A1.2,L8,15/04/2026
653,die Polizistin,პოლიციელი ქალი,F,,A1.2,L8,15/04/2026
654,die Hausfrau,დიასახლისი,F,,A1.2,L8,15/04/2026
655,die Krankenschwester,მედდა,F,,A1.2,L8,15/04/2026
656,die Ausbildung,"ტრენინგი, სტაჟირება",F,Ich mache eine Ausbildung als,A1.2,L8,15/04/2026
657,die Stelle,სამუშაო პოზიცია,F,Ich habe eine Stelle als,A1.2,L8,15/04/2026
658,die Schülerin,მოსწავლე გოგო,F,,A1.2,L8,15/04/2026
659,die Bewerbung,აპლიკაცია (მოთხოვნა),F,,A1.2,L8,15/04/2026
660,die Abteilung,დეპარტამენტი,F,,A1.2,L8,15/04/2026
661,die Wirtschaft,ეკონომიკის სფერო,F,,A1.2,L8,15/04/2026
662,die Verfügung,განკარგულება,F,,A1.2,L8,15/04/2026
663,die Berufserfahrung,პროფესიული გამოცდილება,F,,A1.2,L8,15/04/2026
664,die Kunde(n),"მომხმარებელი, კლიენტი",F,,A1.2,L8,15/04/2026
665,die Verkäuferin,კონსულტანტი ქალი,F,,A1.2,L8,15/04/2026
666,die Architektin,არქიტექტორი ქალი,F,,A1.2,L8,15/04/2026
667,die Arbeiterin,მუშა ქალი,F,,A1.2,L8,15/04/2026
668,die Köchin,მზარეული ქალი,F,,A1.2,L8,15/04/2026
669,die Dauer,"duration, ხანგრძლივობა",F,,A1.2,L8,15/04/2026
670,die Unterlage,(მიმაგრებული) დოკუმენტი,F,,A1.2,L8,15/04/2026
671,die Handel,"ვაჭრობა, კომერცია",F,,A1.2,L8,15/04/2026
672,die Kenntnis,ცოდნა,F,,A1.2,L8,15/04/2026
673,die Praktikumsdauer,სტაჟირების ხანგრძლივობა,F,,A1.2,L8,15/04/2026
674,die Vergütung,"ანაზღაურება, კომპენსაცია",F,,A1.2,L8,15/04/2026
675,Lachen,სიცილი,-,,A1.2,L8,15/04/2026
676,wählen,არჩევა,-,,A1.2,L8,15/04/2026
677,stellen,"დასვით, ჩასვით, ჩადეთ",-,,A1.2,L8,15/04/2026
678,denken,ფიქრი (ვფიქრობ),-,Was denkst du?,A1.2,L8,15/04/2026
679,dauern,"განგრძობა, განმავლობა",-,Wie lange hat die Ausbildung gedauert?,A1.2,L8,15/04/2026
680,war,იყო,-,,A1.2,L8,15/04/2026
681,zeigen,"ჩვენება, დემონსტრირება",-,,A1.2,L8,15/04/2026
682,verstehen,გაგება,-,Das verstehe ich nicht.,A1.2,L8,15/04/2026
683,bieten,შეთავაზება,-,,A1.2,L8,15/04/2026
684,schicken,გაგზავნა,-,,A1.2,L8,15/04/2026
685,erste,პირველი,-,,A1.2,L8,15/04/2026
686,allein,მარტო,-,,A1.2,L8,15/04/2026
687,nun,ახლა,-,,A1.2,L8,15/04/2026
688,eigene,საკუთარი,-,,A1.2,L8,15/04/2026
689,Ich arbeite bei ...,ვმუშაობ ...-ში,-,,A1.2,L8,15/04/2026
690,Ich arbeite als ...,"ვმუშაობ, როგორც ...",-,,A1.2,L8,15/04/2026
691,beruflich,პროფესიულად,-,,A1.2,L8,15/04/2026
692,angelstellt,დასაქმებული – “დაკონტრაქტებული”,-,,A1.2,L8,15/04/2026
693,selbstständig,თვითდასაქმებული,-,Seit wann bist du schon selbstständig?,A1.2,L8,15/04/2026
694,berufstätig,"დასაქმებული – ანუ საქმე გაქვს, არ ხარ უმუშევარი, აქ თვითდასაქმებულებიც შედიან",-,Ich arbeite jetzt nicht - Ich bin nicht berufstätig,A1.2,L8,15/04/2026
695,zurzeit arbeitslos,ამჟამად უმუშევარი,-,,A1.2,L8,15/04/2026
696,seit,"წარსულის განგრძობითი ქმედება, რომელიც ახლაც მიმდინარეობს; -დან მოყოლებული დღემდე",-,,A1.2,L8,15/04/2026
697,vor,"წინ, წარსულში დასრულებული  ქმედება, რომელიც უკვე დასრულებულია. მაგ. ამდენი წლის ""წინ""; აკლია (საათზე)",-,vor zehn jahren,A1.2,L8,15/04/2026
698,sehr geehrter,Dear - მიმართვა ელ. ფოსტის დასაწყისში,-,,A1.2,L8,15/04/2026
699,gerade,ახლახანს,-,,A1.2,L8,15/04/2026
700,für weitere informationen / fragen ...,მეტი ინფორმაციისთვის / შეკითხვების შემთხვევაში ...,-,,A1.2,L8,15/04/2026
701,zur verfügung,ხელმისაწვდომი; ფრაზა “თქვენს განკარგულებაში”,-,,A1.2,L8,15/04/2026
702,eigentlich,"სინამდვილეში, actually",-,,A1.2,L8,15/04/2026
703,später,"შემდეგ, მოგვიანებით",-,,A1.2,L8,15/04/2026
704,früher,"მანამდე, ადრე",-,,A1.2,L8,15/04/2026
705,professionell,პროფესიონალი,-,,A1.2,L8,15/04/2026
706,Jobbörse,"სამუშაო ბაზარი, სამუშაო სააგენტო",-,,A1.2,L8,15/04/2026
707,Bald,მალე,-,,A1.2,L8,15/04/2026
708,Danach,ამიტომ,-,,A1.2,L8,15/04/2026
709,im letzten jahr,შარშან,-,,A1.2,L8,15/04/2026
710,bereit,მომზადებული,-,,A1.2,L8,15/04/2026
711,lernbereit,მონდომებული (სწავლაზე),-,,A1.2,L8,15/04/2026
712,mindestens,"სულ მცირე, მინიმუმ",-,,A1.2,L8,15/04/2026
713,englischkenntnisse,ინგლისურის ცოდნა,-,,A1.2,L8,15/04/2026
714,schriftlich,წერილობითი ფორმით,-,,A1.2,L8,15/04/2026
715,fleißig,შრომისმოყვარე,-,,A1.2,L8,15/04/2026
716,gehen,"წასვლა, სიარული",-,"Wie geht's?
Wie geht es dir? / Wie geht es Ihnen?
Danke, sehr gut. Und Ihnen?",A1.1,L2,30/09/2025
717,nochmal,კიდევ,-,Nochmal bitte.,A1.1,L2,30/09/2025
718,der Deutschkurs,გერმანული ენის კურსი,M,"Wie findest du den Deutschkurs?
Deutsch ist schwer, oder?",A1.1,L2,30/09/2025
719,etwas,რაღაც,-,Sonst noch etwas?,A1.1,L3,15/10/2025
720,fertig,"დასრულებული, მზად",-,Bist du fertig?,A1.1,L3,15/10/2025
721,zufrieden,კმაყოფილი,-,Bist du zufrieden?,A1.1,L3,15/10/2025
722,Da gibt es ... / Ich sehe da ...,ესენია / აქ არის / აქ ვხედავ …,-,,A1.1,L3,15/10/2025
723,Schau mal! Guck mal!,შეხედე! ნახე!,-,,A1.1,L3,15/10/2025
724,Sag mal!,"თქვი, მითხარი",-,,A1.1,L3,15/10/2025
725,nähe,ახლოს,-,In der Nähe von Sachsen liegt Prag.,A1.1,L3,15/10/2025
